speed,driver_fatigue,traffic_density,visibility,brake_events,hour,road_type,weather,accident_risk
49.96714153011233,1.6823657910849188,0.31265631435521946,345.35744521732045,3,8,city,clear,0
43.61735698828815,1.8993474366102003,0.17823309891158345,336.4400495782053,7,7,rural,clear,0
51.47688538100692,4.607121713482755,0.8591821994111084,157.1463628230897,2,14,city,clear,0
60.23029856408026,2.862798621119409,0.4035227665072294,763.5069019690595,7,11,highway,clear,1
42.658466252766644,2.4746298123314636,0.3985437143653825,765.5315019470397,0,14,city,rain,0
42.6586304305082,6.452376445533316,0.16988667480662,768.7100582444241,3,14,highway,clear,0
60.79212815507391,6.509717452185445,0.3830656760857787,661.3579924922904,6,14,rural,rain,1
52.67434729152909,8.245170697999292,0.8716168463288502,173.37615645637783,2,12,rural,clear,1
40.30525614065048,4.177085669729759,0.3631287104896359,394.6579016429468,1,17,city,clear,0
50.42560043585965,0.7308509102615024,0.9516035624997881,634.0830835186224,2,9,rural,fog,0
40.365823071875376,2.736663849214577,0.9463088992083875,627.1036005583591,6,6,city,fog,1
40.34270246429743,9.80005463196817,0.14489865930734602,555.4503573695957,3,16,rural,clear,1
47.41962271566034,5.962585752327021,0.17731125352264487,673.7834405816493,2,13,rural,fog,0
25.86719755342202,7.097370848010202,0.8626740703318891,602.3303415370491,6,5,rural,rain,1
27.750821674869673,0.07357829625414536,0.3927609189247192,624.1540931102724,3,9,city,clear,0
39.37712470759027,5.182057321825209,0.004373982283009337,472.1869334335968,1,16,city,clear,0
34.87168879665576,0.3752865753180312,0.273871819705371,796.402197224318,3,16,city,clear,0
48.142473325952736,5.69230212091448,0.59762899319556,513.8456782639232,4,7,rural,rain,0
35.91975924478789,9.207708496360754,0.799265965959968,333.87018339587473,5,12,highway,clear,1
30.876962986647086,9.684191305004079,0.13338861709325955,445.8001974362543,5,12,city,clear,1
59.65648768921554,5.405526753889242,0.11054136441673534,530.306761727604,1,17,highway,clear,0
42.74223699513465,4.582048052522159,0.9220926535723316,798.8005576737694,2,16,city,clear,0
45.67528204687924,9.45017094248494,0.7511483678225827,591.5464003130414,7,16,city,clear,1
30.752518137865433,6.736098319966951,0.5897796007780784,562.7703562068702,3,5,highway,fog,1
39.556172754748175,0.6489927953840946,0.769186789995928,350.26731504747454,3,8,highway,rain,0
46.10922589709866,4.657255776674976,0.42885436130663845,757.0965179659153,2,16,rural,fog,0
33.490064225776976,2.402450184643039,0.7584557473091266,469.6095691953229,2,14,highway,rain,0
48.75698018345672,4.698043214486816,0.37180299127453575,579.9944282117328,2,12,city,clear,0
38.99361310081195,4.554655720063617,0.24409457249260236,896.036615376373,4,13,highway,fog,0
42.083062502067236,5.821448028147421,0.7290134212929686,701.7526662098609,6,13,highway,clear,1
38.98293387770603,3.5677049034925123,0.4196722921572683,274.3491904569651,10,6,highway,fog,1
63.522781845089376,1.6427044945592806,0.9813771043261948,246.09795272950555,3,13,highway,rain,0
44.86502775262066,5.037194345899563,0.349485182308101,587.1379099761508,3,12,rural,rain,0
34.422890710440996,8.30202884345762,0.9217274205310659,357.45187702503904,2,15,city,clear,0
53.225449121031886,6.640122280676023,0.9329625485670795,729.7093495265996,2,15,city,rain,1
32.791563500289776,3.3836786592521584,0.24185294706474614,608.4526129929958,6,17,city,rain,0
47.08863595004755,9.355230227588573,0.7982211815880134,633.0769538047726,1,13,rural,clear,1
25.403298761202244,9.12207571249182,0.43307450514456514,458.6513636715294,4,13,highway,fog,1
31.718139511015693,2.0934839938409877,0.9175247272303481,948.2767310573411,6,7,city,fog,0
46.96861235869123,0.39417585120362975,0.4501242726352388,1168.5187456020917,2,9,city,clear,0
52.38466579995411,7.413087083507622,0.7443037173373661,544.2830552486571,3,17,highway,clear,1
46.7136828118997,8.276102613491533,0.46696740916379786,670.6078496830002,1,15,city,clear,0
43.843517176117594,9.678645659513553,0.22780075571285618,619.4834686128626,5,7,highway,rain,1
41.98896304410711,8.898363940883108,0.1993501289446863,548.0626273117863,1,10,rural,rain,0
30.214780096325725,6.005347682064148,0.42543119425634557,433.58590645344066,3,14,city,clear,0
37.801557916052914,5.300523392123808,0.7554946570142149,383.00640250390455,3,17,city,clear,0
40.393612290402125,0.2784105126258629,0.6050714851807668,372.88054689489513,4,9,highway,clear,0
55.57122226218915,2.4665644684477783,0.6886292899005433,681.0480051098291,2,6,rural,rain,0
48.43618289568462,4.596147517329264,0.28232635073194245,496.06510435927294,2,7,city,rain,0
27.36959844637266,6.2850390008356785,0.4814353459576055,84.34142997189394,4,11,highway,clear,0
48.24083969394795,5.572518333184107,0.044395264969327,688.9716441196645,0,14,rural,clear,0
41.149177195836835,7.426359896816905,0.8175324159581207,592.3477435071688,3,14,highway,clear,1
38.23077999694041,2.7976693088704083,0.9898921622398746,869.3346002802292,3,16,city,clear,0
51.11676288840868,5.649526076524732,0.4068790626246709,674.6244794182019,7,9,city,clear,1
